Durusdinium33176	Inorganic ion transport and metabolism
Durusdinium43078	Translation, ribosomal structure and biogenesis
Durusdinium2215	Replication, recombination and repair
Durusdinium29866	RNA processing and modification
Durusdinium44732	Intracellular trafficking, secretion, and vesicular transport
Durusdinium49151	Translation, ribosomal structure and biogenesis
Durusdinium29631	Carbohydrate transport and metabolism
Durusdinium29059	Cell cycle control, cell division, chromosome partitioning
Durusdinium19609	
Durusdinium4731	Posttranslational modification, protein turnover, chaperones
Durusdinium33125	Energy production and conversion
Durusdinium41464	Cell wall/membrane/envelope biogenesis
Durusdinium31808	RNA processing and modification
Durusdinium35177	Posttranslational modification, protein turnover, chaperones
Durusdinium20148	Lipid transport and metabolism
Durusdinium46288	Nucleotide transport and metabolism
Durusdinium11262	Signal transduction mechanisms
Durusdinium5538	Inorganic ion transport and metabolism
Durusdinium36360	Signal transduction mechanisms
Durusdinium11577	Posttranslational modification, protein turnover, chaperones
Durusdinium17429	Amino acid transport and metabolism
Durusdinium46137	Posttranslational modification, protein turnover, chaperones
Durusdinium13819	Carbohydrate transport and metabolism
Durusdinium41247	Posttranslational modification, protein turnover, chaperones
Durusdinium28373	
Durusdinium7574	Translation, ribosomal structure and biogenesis
Durusdinium23381	Translation, ribosomal structure and biogenesis
Durusdinium8407	
Durusdinium34191	
Durusdinium38277	Carbohydrate transport and metabolism
Durusdinium31479	Signal transduction mechanisms
Durusdinium38533	Posttranslational modification, protein turnover, chaperones
Durusdinium23978	Signal transduction mechanisms
Durusdinium25610	Nucleotide transport and metabolism
Durusdinium33684	Posttranslational modification, protein turnover, chaperones
Durusdinium21706	Cytoskeleton
Durusdinium9884	RNA processing and modification
Durusdinium11430	
Durusdinium15374	Posttranslational modification, protein turnover, chaperones
Durusdinium24905	Carbohydrate transport and metabolism
Durusdinium54736	Posttranslational modification, protein turnover, chaperones
Durusdinium10398	Translation, ribosomal structure and biogenesis
Durusdinium23599	Translation, ribosomal structure and biogenesis
Durusdinium23493	Signal transduction mechanisms
Durusdinium22465	Coenzyme transport and metabolism
Durusdinium19602	Carbohydrate transport and metabolism
Durusdinium45431	Translation, ribosomal structure and biogenesis
Durusdinium30707	Amino acid transport and metabolism
Durusdinium27986	Chromatin structure and dynamics
Durusdinium8748	Replication, recombination and repair
Durusdinium42057	Posttranslational modification, protein turnover, chaperones
Durusdinium13740	Lipid transport and metabolism
Durusdinium31794	Intracellular trafficking, secretion, and vesicular transport
Durusdinium34413	Inorganic ion transport and metabolism
Durusdinium53644	Transcription
Durusdinium41118	Energy production and conversion
Durusdinium33910	Signal transduction mechanisms
Durusdinium19683	Coenzyme transport and metabolism
Durusdinium8683	Intracellular trafficking, secretion, and vesicular transport
Durusdinium25966	Lipid transport and metabolism
Durusdinium40613	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium22666	Posttranslational modification, protein turnover, chaperones
Durusdinium37777	Coenzyme transport and metabolism
Durusdinium9987	Signal transduction mechanisms
Durusdinium33796	Signal transduction mechanisms
Durusdinium18397	Carbohydrate transport and metabolism
Durusdinium21103	Signal transduction mechanisms
Durusdinium24454	Translation, ribosomal structure and biogenesis
Durusdinium14520	
Durusdinium31470	Translation, ribosomal structure and biogenesis
Durusdinium21130	Carbohydrate transport and metabolism
Durusdinium36072	Energy production and conversion
Durusdinium38686	Carbohydrate transport and metabolism
Durusdinium43346	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium52996	Cytoskeleton
Durusdinium32631	Posttranslational modification, protein turnover, chaperones
Durusdinium20471	Nucleotide transport and metabolism
Durusdinium24610	Inorganic ion transport and metabolism
Durusdinium26332	
Durusdinium32016	Posttranslational modification, protein turnover, chaperones
Durusdinium24701	Amino acid transport and metabolism
Durusdinium25074	Energy production and conversion
Durusdinium43873	Signal transduction mechanisms
Durusdinium35844	RNA processing and modification
Durusdinium32733	Replication, recombination and repair
Durusdinium30092	Signal transduction mechanisms
Durusdinium40929	RNA processing and modification
Durusdinium28024	Replication, recombination and repair
Durusdinium24744	Signal transduction mechanisms
Durusdinium27734	Carbohydrate transport and metabolism
Durusdinium39447	Lipid transport and metabolism
Durusdinium18177	Carbohydrate transport and metabolism
Durusdinium9184	Signal transduction mechanisms
Durusdinium31636	RNA processing and modification
Durusdinium40912	Signal transduction mechanisms
Durusdinium30460	Posttranslational modification, protein turnover, chaperones
Durusdinium41288	Posttranslational modification, protein turnover, chaperones
Durusdinium49804	Signal transduction mechanisms
Durusdinium54852	
Durusdinium55368	Lipid transport and metabolism
Durusdinium24626	Energy production and conversion
Durusdinium30141	Chromatin structure and dynamics
Durusdinium17150	Signal transduction mechanisms
Durusdinium12627	Lipid transport and metabolism
Durusdinium22741	Replication, recombination and repair
Durusdinium22156	Coenzyme transport and metabolism
Durusdinium35470	Chromatin structure and dynamics
Durusdinium43161	Carbohydrate transport and metabolism
Durusdinium4412	Posttranslational modification, protein turnover, chaperones
Durusdinium38202	Replication, recombination and repair
Durusdinium21690	
Durusdinium38691	Coenzyme transport and metabolism
Durusdinium9280	Intracellular trafficking, secretion, and vesicular transport
Durusdinium30798	Translation, ribosomal structure and biogenesis
Durusdinium26129	Inorganic ion transport and metabolism
Durusdinium23378	Posttranslational modification, protein turnover, chaperones
Durusdinium46723	
Durusdinium39708	Coenzyme transport and metabolism
Durusdinium34566	Energy production and conversion
Durusdinium39888	Posttranslational modification, protein turnover, chaperones
Durusdinium52534	Amino acid transport and metabolism
Durusdinium41005	Inorganic ion transport and metabolism
Durusdinium17276	Posttranslational modification, protein turnover, chaperones
Durusdinium40561	Cytoskeleton
Durusdinium28980	Lipid transport and metabolism
Durusdinium32358	
Durusdinium41351	Inorganic ion transport and metabolism
Durusdinium30234	Amino acid transport and metabolism
Durusdinium39168	Translation, ribosomal structure and biogenesis
Durusdinium23403	RNA processing and modification
Durusdinium3075	Amino acid transport and metabolism
Durusdinium43111	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium49583	Posttranslational modification, protein turnover, chaperones
Durusdinium14287	Translation, ribosomal structure and biogenesis
Durusdinium18097	Posttranslational modification, protein turnover, chaperones
Durusdinium22601	Translation, ribosomal structure and biogenesis
Durusdinium30335	Replication, recombination and repair
Durusdinium29517	Posttranslational modification, protein turnover, chaperones
Durusdinium37676	Signal transduction mechanisms
Durusdinium29355	Carbohydrate transport and metabolism
Durusdinium19310	Cell wall/membrane/envelope biogenesis
Durusdinium36099	Energy production and conversion
Durusdinium29424	Inorganic ion transport and metabolism
Durusdinium28252	Posttranslational modification, protein turnover, chaperones
Durusdinium39439	Posttranslational modification, protein turnover, chaperones
Durusdinium17134	
Durusdinium35805	Posttranslational modification, protein turnover, chaperones
Durusdinium43123	Lipid transport and metabolism
Durusdinium17636	Signal transduction mechanisms
Durusdinium10872	Coenzyme transport and metabolism
Durusdinium32656	RNA processing and modification
Durusdinium32512	
Durusdinium30821	RNA processing and modification
Durusdinium39828	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium15228	Signal transduction mechanisms
Durusdinium21575	Signal transduction mechanisms
Durusdinium40698	Cytoskeleton
Durusdinium34610	Translation, ribosomal structure and biogenesis
Durusdinium22992	Amino acid transport and metabolism
Durusdinium37920	Intracellular trafficking, secretion, and vesicular transport
Durusdinium22929	Translation, ribosomal structure and biogenesis
Durusdinium13689	Signal transduction mechanisms
Durusdinium22242	Carbohydrate transport and metabolism
