Durusdinium33176	Inorganic ion transport and metabolism
Durusdinium43078	Translation, ribosomal structure and biogenesis
Durusdinium29866	RNA processing and modification
Ofaveolata240059	Cytoskeleton
Ofaveolata261296	Posttranslational modification, protein turnover, chaperones
Durusdinium44480	Amino acid transport and metabolism
Durusdinium49151	Translation, ribosomal structure and biogenesis
Durusdinium29631	Carbohydrate transport and metabolism
Ofaveolata254039	
Ofaveolata258136	Signal transduction mechanisms
Durusdinium32303	Signal transduction mechanisms
Durusdinium35630	Posttranslational modification, protein turnover, chaperones
Ofaveolata267237	Energy production and conversion
Durusdinium29059	Cell cycle control, cell division, chromosome partitioning
Durusdinium4731	Posttranslational modification, protein turnover, chaperones
Ofaveolata81414	Chromatin structure and dynamics
Ofaveolata269315	
Durusdinium26171	Energy production and conversion
Durusdinium41464	Cell wall/membrane/envelope biogenesis
Durusdinium35177	Posttranslational modification, protein turnover, chaperones
Ofaveolata254637	
Durusdinium46288	Nucleotide transport and metabolism
Durusdinium20148	
Durusdinium11262	Signal transduction mechanisms
Durusdinium5538	Inorganic ion transport and metabolism
Ofaveolata269408	Cell cycle control, cell division, chromosome partitioning
Ofaveolata263790	Nucleotide transport and metabolism
Durusdinium46137	Posttranslational modification, protein turnover, chaperones
Ofaveolata265322	Lipid transport and metabolism
Ofaveolata261598	Lipid transport and metabolism
Ofaveolata268655	Cell wall/membrane/envelope biogenesis
Ofaveolata252556	Transcription
Durusdinium41247	Posttranslational modification, protein turnover, chaperones
Durusdinium28373	
Ofaveolata258177	Signal transduction mechanisms
Ofaveolata259687	Signal transduction mechanisms
Ofaveolata265792	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata258717	Replication, recombination and repair
Ofaveolata238613	Transcription
Ofaveolata265084	Signal transduction mechanisms
Durusdinium34191	
Ofaveolata260749	Amino acid transport and metabolism
Ofaveolata265080	
Ofaveolata254988	Signal transduction mechanisms
Durusdinium43985	Inorganic ion transport and metabolism
Ofaveolata248519	Transcription
Durusdinium23978	Signal transduction mechanisms
Ofaveolata250715	Signal transduction mechanisms
Ofaveolata269274	
Durusdinium25758	Signal transduction mechanisms
Durusdinium25610	Nucleotide transport and metabolism
Ofaveolata266804	Signal transduction mechanisms
Durusdinium33684	Posttranslational modification, protein turnover, chaperones
Durusdinium9884	RNA processing and modification
Ofaveolata268705	Intracellular trafficking, secretion, and vesicular transport
Durusdinium24905	Carbohydrate transport and metabolism
Ofaveolata244375	Amino acid transport and metabolism
Ofaveolata1546275	Secondary metabolites biosynthesis, transport and catabolism
Ofaveolata1194145	
Ofaveolata262784	Posttranslational modification, protein turnover, chaperones
Ofaveolata253729	Posttranslational modification, protein turnover, chaperones
Durusdinium23599	Translation, ribosomal structure and biogenesis
Durusdinium19602	Carbohydrate transport and metabolism
Durusdinium27091	Translation, ribosomal structure and biogenesis
Ofaveolata32916	Chromatin structure and dynamics
Durusdinium27986	Chromatin structure and dynamics
Ofaveolata262476	Signal transduction mechanisms
Ofaveolata249881	Amino acid transport and metabolism
Durusdinium8748	Replication, recombination and repair
Ofaveolata253864	Inorganic ion transport and metabolism
Durusdinium25459	Nucleotide transport and metabolism
Ofaveolata265921	Lipid transport and metabolism
Ofaveolata256686	Posttranslational modification, protein turnover, chaperones
Ofaveolata213200	Signal transduction mechanisms
Ofaveolata254188	Signal transduction mechanisms
Ofaveolata294316	Posttranslational modification, protein turnover, chaperones
Ofaveolata266827	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata260984	Signal transduction mechanisms
Ofaveolata257353	Defense mechanisms
Ofaveolata268419	Cytoskeleton
Ofaveolata259315	Signal transduction mechanisms
Ofaveolata267738	Posttranslational modification, protein turnover, chaperones
Durusdinium30011	Signal transduction mechanisms
Durusdinium34413	Inorganic ion transport and metabolism
Durusdinium41118	Energy production and conversion
Ofaveolata253581	Transcription
Ofaveolata244913	Posttranslational modification, protein turnover, chaperones
Durusdinium19683	Secondary metabolites biosynthesis, transport and catabolism
Ofaveolata267755	Replication, recombination and repair
Ofaveolata265341	Cell wall/membrane/envelope biogenesis
Durusdinium35705	Carbohydrate transport and metabolism
Ofaveolata251250	Amino acid transport and metabolism
Durusdinium40613	Inorganic ion transport and metabolism
Durusdinium11238	
Durusdinium37777	Coenzyme transport and metabolism
Durusdinium21103	Signal transduction mechanisms
Ofaveolata267152	Signal transduction mechanisms
Ofaveolata252850	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium31470	Signal transduction mechanisms
Ofaveolata206541	Signal transduction mechanisms
Ofaveolata265063	Replication, recombination and repair
Durusdinium36072	Secondary metabolites biosynthesis, transport and catabolism
Ofaveolata263104	Carbohydrate transport and metabolism
Durusdinium38686	Carbohydrate transport and metabolism
Ofaveolata257884	Signal transduction mechanisms
Durusdinium37316	Lipid transport and metabolism
Ofaveolata260785	Translation, ribosomal structure and biogenesis
Ofaveolata160291	Posttranslational modification, protein turnover, chaperones
Ofaveolata80997	Posttranslational modification, protein turnover, chaperones
Durusdinium34638	Translation, ribosomal structure and biogenesis
Ofaveolata207998	Signal transduction mechanisms
Ofaveolata66000	
Ofaveolata256929	Signal transduction mechanisms
Ofaveolata259187	Posttranslational modification, protein turnover, chaperones
Ofaveolata246987	Coenzyme transport and metabolism
Ofaveolata257789	Replication, recombination and repair
Ofaveolata236636	Signal transduction mechanisms
Ofaveolata226272	Cell wall/membrane/envelope biogenesis
Ofaveolata262492	Signal transduction mechanisms
Ofaveolata251422	Signal transduction mechanisms
Ofaveolata268605	Intracellular trafficking, secretion, and vesicular transport
Durusdinium24701	Amino acid transport and metabolism
Durusdinium25074	Energy production and conversion
Ofaveolata263658	Signal transduction mechanisms
Ofaveolata257262	Posttranslational modification, protein turnover, chaperones
Durusdinium32733	Replication, recombination and repair
Ofaveolata267341	
Durusdinium5319	Translation, ribosomal structure and biogenesis
Durusdinium30092	Signal transduction mechanisms
Ofaveolata256983	Signal transduction mechanisms
Ofaveolata264444	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata238166	Transcription
Durusdinium37347	Posttranslational modification, protein turnover, chaperones
Durusdinium6459	Replication, recombination and repair
Ofaveolata265585	Transcription
Durusdinium40929	RNA processing and modification
Durusdinium11627	Lipid transport and metabolism
Ofaveolata212739	Amino acid transport and metabolism
Durusdinium28024	Signal transduction mechanisms
Ofaveolata256914	Secondary metabolites biosynthesis, transport and catabolism
Ofaveolata269820	Inorganic ion transport and metabolism
Durusdinium27734	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata268447	Extracellular structures
Ofaveolata265736	Transcription
Durusdinium18177	Carbohydrate transport and metabolism
Ofaveolata261493	Carbohydrate transport and metabolism
Durusdinium9184	Signal transduction mechanisms
Durusdinium14917	Signal transduction mechanisms
Durusdinium4693	Amino acid transport and metabolism
Durusdinium40912	Signal transduction mechanisms
Ofaveolata262842	Signal transduction mechanisms
Ofaveolata261909	Cytoskeleton
Durusdinium30460	Posttranslational modification, protein turnover, chaperones
Ofaveolata240050	Cytoskeleton
Ofaveolata259825	Signal transduction mechanisms
Ofaveolata263056	
Ofaveolata261963	Carbohydrate transport and metabolism
Ofaveolata269585	Signal transduction mechanisms
Ofaveolata253705	Extracellular structures
Durusdinium37194	Amino acid transport and metabolism
Ofaveolata239740	Signal transduction mechanisms
Durusdinium56248	Carbohydrate transport and metabolism
Durusdinium54852	
