Durusdinium15234	K08805
Durusdinium109525	K08873
Durusdinium14039	K00648
Durusdinium108710	K12198
Durusdinium19597	K04892
Durusdinium86508	K03178
Durusdinium72195	K04409
Durusdinium59758	K01768
Durusdinium27410	K19613
Durusdinium20358	K01408
Durusdinium15463	K03977
Durusdinium11693	K00390
Durusdinium83029	K02875
Durusdinium937	K12047
Durusdinium62724	K10615
Durusdinium9884	K08998
Durusdinium263	K20606
Durusdinium644	K00471
Durusdinium11157	K00789
Durusdinium25459	K01379
Durusdinium24914	K05794
Durusdinium24483	K00710
Durusdinium73464	K17725
Durusdinium32	K08798
Durusdinium41118	K08683
Durusdinium6844	K10885
Durusdinium25555	K21440
Durusdinium21379	K00558
Durusdinium10565	K07441
Durusdinium86318	K17278
Durusdinium96111	K24083
Durusdinium102644	K23741
Durusdinium25101	K00600
Durusdinium13172	K02088
Durusdinium83785	K17614
Durusdinium25074	K04856
Durusdinium83830	K00710
Durusdinium30373	K15259
Durusdinium22724	K03978
Durusdinium63005	K14829
Durusdinium3651	K03307
Durusdinium18177	K12119
Durusdinium12148	K17609
Durusdinium96013	K03178
Durusdinium37104	K03639
Durusdinium61098	K04852
Durusdinium2026	K10645
Durusdinium115105	K14457
Durusdinium83815	K04905
Durusdinium17518	K01246
Durusdinium107099	K01382
Durusdinium24146	K13293
Durusdinium111257	K19348
Durusdinium6330	K07759
Durusdinium87998	K01251
Durusdinium18542	K08517
Durusdinium771	K00249
Durusdinium5453	K22684
Durusdinium72977	K01194
Durusdinium53048	K17609
Durusdinium108276	K02922
Durusdinium76073	K00670
Durusdinium21712	K10398
Durusdinium10193	K04855
Durusdinium22596	K21440
Durusdinium9634	K17710
Durusdinium13437	K06941
Durusdinium21599	K00665
Durusdinium48853	K10244
Durusdinium51337	K09523
Durusdinium52831	K03321
Durusdinium84099	K02887
Durusdinium19642	K06630
Durusdinium561	K10615
Durusdinium207	K03599
Durusdinium95541	K00574
Durusdinium96586	K02986
Durusdinium19438	K04908
Durusdinium50422	K07305
Durusdinium22046	K16604
Durusdinium11892	K14379
Durusdinium9959	K01187
Durusdinium89165	K20035
Durusdinium48259	K12443
Durusdinium7269	K25608
Durusdinium14265	K06173
Durusdinium16248	K16339
Durusdinium5083	K01834
Durusdinium35090	K00380
Durusdinium13857	K07877
Durusdinium50088	K00297
Durusdinium14479	K10392
Durusdinium19504	K13412
Durusdinium60450	K10277
Durusdinium84546	K07677
Durusdinium51035	K09228
Durusdinium83683	K22611
Durusdinium52659	K05330
Durusdinium1961	K04840
Durusdinium39226	K07667
Durusdinium18889	K21440
Durusdinium26936	K06173
Durusdinium111502	K02540
Durusdinium5429	K14501
Durusdinium10382	K11160
Durusdinium8574	K25819
Durusdinium31054	K14564
Durusdinium22816	K04456
Durusdinium85487	K13205
Durusdinium76219	K00939
Durusdinium60088	K00645
Durusdinium24191	K11297
Durusdinium62028	K17499
Durusdinium18703	K17943
Durusdinium108112	K03671
Durusdinium14534	K17506
Durusdinium85819	K14538
Durusdinium9898	K07198
Durusdinium1538	K10442
Durusdinium67805	K19329
Durusdinium61285	K01176
Durusdinium62168	K10614
Durusdinium15781	K02321
Durusdinium14628	K10407
Durusdinium1234	K01365
Durusdinium2570	K01915
Durusdinium5662	K00284
Durusdinium73283	K03217
Durusdinium4240	K04905
Durusdinium23913	K11517
Durusdinium14990	K21436
Durusdinium22960	K22282
Durusdinium68614	K10360
Durusdinium106635	K11279
Durusdinium3760	K24780
Durusdinium50172	K15296
Durusdinium14562	K13420
Durusdinium13358	K04459
Durusdinium102	K00861
Durusdinium62798	K03500
Durusdinium104613	K02210
Durusdinium25014	K10669
Durusdinium72001	K15630
Durusdinium95831	K10615
Durusdinium62970	K01845
Durusdinium109498	K11654
Durusdinium97110	K14963
Durusdinium73431	K19754
Durusdinium60474	K12442
Durusdinium61476	K01307
Durusdinium16213	K04854
Durusdinium75356	K08596
Durusdinium18197	K18735
Durusdinium74666	K12405
Durusdinium60432	K25451
Durusdinium107911	K20523
Durusdinium1756	K01409
Durusdinium98231	K07893
Durusdinium536	K05692
Durusdinium44018	K00826
Durusdinium16428	K19041
Durusdinium6433	K10799
Durusdinium43946	K01307
Durusdinium15874	K04487
Durusdinium96037	K00915
Durusdinium11220	K16604
Durusdinium113108	K08711
Durusdinium17324	K05665
Durusdinium77784	K09420
Durusdinium85722	K17943
Durusdinium11652	K10837
Durusdinium49994	K09527
Durusdinium9380	K01379
Durusdinium4568	K16742
Durusdinium16138	K01953
Durusdinium83269	K21862
Durusdinium11854	K17499
Durusdinium108551	K07910
Durusdinium26659	K01079
Durusdinium108367	K05643
Durusdinium16443	K15986
Durusdinium50131	K10450
Durusdinium10215	K19502
Durusdinium59846	K02183
Durusdinium4881	K25186
Durusdinium65841	K22763
Durusdinium56472	K01322
Durusdinium7197	K14571
Durusdinium18644	K24512
Durusdinium18154	K02945
Durusdinium52400	K08332
Durusdinium110426	K03686
Durusdinium20507	K08811
Durusdinium61422	K06994
Durusdinium85450	K03686
Durusdinium97447	K25805
Durusdinium111192	K02481
Durusdinium100448	K23344
Durusdinium107420	K20318
Durusdinium9433	K16803
Durusdinium61697	K03355
Durusdinium7511	K19600
Durusdinium47450	K17279
Durusdinium109570	K13412
Durusdinium53457	K05592
Durusdinium95391	K02641
Durusdinium17165	K00545
Durusdinium87617	K09773
Durusdinium85153	K03798
Durusdinium36486	K24353
Durusdinium115196	K12524
Durusdinium6692	K24956
Durusdinium64399	K17710
Durusdinium53993	K14773
Durusdinium49603	K15710
Durusdinium104798	K11151
Durusdinium92058	K01653
Durusdinium38909	K00128
Durusdinium42731	K09636
Durusdinium62010	K17943
Durusdinium17619	K15032
Durusdinium4718	K08803
Durusdinium19229	K00799
Durusdinium17717	K24635
Durusdinium96009	K02636
Durusdinium50162	K10645
Durusdinium74491	K08582
Durusdinium24337	K20242
Durusdinium37931	K24485
Durusdinium19253	K12813
Durusdinium9860	K25517
Durusdinium88429	K02985
Durusdinium73556	K13937
Durusdinium38233	K01551
Durusdinium26324	K17943
Durusdinium113713	K03064
Durusdinium85472	K21989
Durusdinium74406	K17545
Durusdinium21735	K18081
Durusdinium72104	K11434
Durusdinium12633	K15335
Durusdinium43908	K00266
Durusdinium388	K13753
Durusdinium46074	K07515
Durusdinium3393	K01673
Durusdinium17071	K06130
Durusdinium26137	K15424
Durusdinium17290	K00472
Durusdinium28220	K04852
Durusdinium1832	K13412
Durusdinium96317	K04834
Durusdinium109724	K12820
Durusdinium63397	K04960
Durusdinium109225	K10380
Durusdinium6225	K00750
Durusdinium59812	K00311
Durusdinium74752	K02967
Durusdinium97671	K06062
Durusdinium33718	K10380
Durusdinium60004	K03107
Durusdinium4903	K01008
Durusdinium323	K20032
Durusdinium25297	K18932
Durusdinium20061	K01358
Durusdinium85879	K03686
Durusdinium22748	K12859
Durusdinium38640	K05643
Durusdinium54661	K00088
Durusdinium18128	K00318
Durusdinium17236	K06545
Durusdinium20354	K15272
Durusdinium3406	K06269
Durusdinium20815	K12132
Durusdinium3106	K17508
Durusdinium77479	K01673
Durusdinium15818	K22390
Durusdinium59884	K00323
Durusdinium1917	K21436
Durusdinium89542	K25166
Durusdinium21019	K10625
Durusdinium62464	K17560
Durusdinium94827	K14798
Durusdinium110056	K11416
Durusdinium108048	K00166
Durusdinium48735	K01488
Durusdinium32423	K16186
Durusdinium75646	K09550
Durusdinium2920	K10773
Durusdinium10640	K10380
Durusdinium51436	K01569
Durusdinium95244	K07748
Durusdinium84052	K11434
Durusdinium17039	K03762
Durusdinium17458	K10393
Durusdinium88813	K19787
Durusdinium108595	K03782
Durusdinium15653	K20222
Durusdinium18459	K05275
Durusdinium89228	K11492
Durusdinium15178	K05794
Durusdinium19019	K01054
Durusdinium83792	K03260
Durusdinium73036	K05349
Durusdinium62654	K05609
Durusdinium51012	K14771
Durusdinium90284	K08794
Durusdinium4425	K01195
Durusdinium60964	K01652
Durusdinium14126	K17609
Durusdinium27647	K19607
Durusdinium79606	K13412
Durusdinium4748	K01784
Durusdinium12568	K07376
Durusdinium60592	K25616
Durusdinium48458	K06630
Durusdinium6378	K16675
Durusdinium109235	K13754
Durusdinium9914	K01754
Durusdinium14671	K10380
Durusdinium109099	K04886
Durusdinium37222	K14213
Durusdinium107194	K12817
Durusdinium76549	K24195
Durusdinium65350	K12822
Durusdinium10737	K11392
Durusdinium108839	K10380
Durusdinium10570	K04371
Durusdinium9603	K17570
Durusdinium29757	K00927
Durusdinium6299	K07880
Durusdinium1932	K02891
Durusdinium110749	K11982
Durusdinium108370	K01322
Durusdinium23479	K00326
Durusdinium45405	K00262
Durusdinium14043	K12119
Durusdinium53518	K07759
Durusdinium376	K01135
Durusdinium84498	K01480
Durusdinium59930	K15505
Durusdinium7606	K20715
Durusdinium4130	K14206
Durusdinium2097	K05841
Durusdinium1690	K07937
Durusdinium6296	K10536
Durusdinium85839	K03850
Durusdinium954	K15110
Durusdinium9438	K13208
Durusdinium57741	K17800
Durusdinium8555	K06180
