Durusdinium33176	potassium:proton antiporter activity
Durusdinium43078	Ribosomal protein L19
Durusdinium2215	SNF2 family N-terminal domain
Durusdinium29866	Cold-inducible RNA-binding protein
Durusdinium44732	regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
Durusdinium49151	Elongation factor Tu C-terminal domain
Durusdinium29631	Cellulase (glycosyl hydrolase family 5)
Durusdinium34445	zinc finger
Durusdinium29059	NDC80 homolog, kinetochore complex component (S. cerevisiae)
Durusdinium19609	Sugar (and other) transporter
Durusdinium4731	protein catabolic process
Durusdinium33125	glycerophosphodiester phosphodiesterase activity
Durusdinium26171	Breast carcinoma amplified sequence 3
Durusdinium41464	Phosphoesterase family
Durusdinium31808	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding
Durusdinium35177	Rotamase-domain-containing protein
Durusdinium35700	Saccharopine dehydrogenase-like oxidoreductase-like
Durusdinium20148	synthase
Durusdinium46288	adenine phosphoribosyltransferase activity
Durusdinium11262	calcium-binding
Durusdinium54988	Glucose dehydrogenase C-terminus
Durusdinium5538	COG1226 Kef-type K transport systems
Durusdinium36360	Glucosidase II beta subunit-like protein
Durusdinium11577	E3 ubiquitin-protein ligase RNF126
Durusdinium17429	methyltransferase activity
Durusdinium46137	HECT E3 ubiquitin ligase. Source PGD
Durusdinium13819	glucose-6-phosphate 1-epimerase activity
Durusdinium41247	calcium-dependent cysteine-type endopeptidase activity
Durusdinium28373	-
Durusdinium7574	Belongs to the pseudouridine synthase RluA family
Durusdinium23381	initiation factor 4E
Durusdinium8407	GTPase activator activity
Durusdinium34191	Oxidoreductase family, NAD-binding Rossmann fold
Durusdinium38277	1,4-alpha-glucan branching enzyme activity
Durusdinium46100	Gamma-glutamyl cyclotransferase, AIG2-like
Durusdinium31479	Protein tyrosine kinase
Durusdinium38533	Ubiquitin carboxyl-terminal hydrolase
Durusdinium23978	Protein kinase domain
Durusdinium25610	hypoxanthine salvage
Durusdinium33684	Trypsin-like peptidase domain
Durusdinium21706	belongs to the actin family
Durusdinium9884	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Durusdinium11430	Doublecortin
Durusdinium15374	ADP-ribosylglycohydrolase
Durusdinium24905	alpha-1,4-glucan synthase activity
Durusdinium54736	calcium-dependent cysteine-type endopeptidase activity
Durusdinium10398	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA
Durusdinium23599	D-Tyr-tRNA(Tyr) deacylase
Durusdinium23493	Stress protein
Durusdinium22465	tRNA (guanine-N1)-methyltransferase
Durusdinium19602	Polysaccharide deacetylase
Durusdinium45431	Belongs to the universal ribosomal protein uS9 family
Durusdinium30707	procollagen-proline 4-dioxygenase activity
Durusdinium27986	SET domain
Durusdinium8748	ion transmembrane transporter activity
Durusdinium42057	peroxiredoxin activity
Durusdinium46793	phosphatidylinositol binding
Durusdinium36521	Chromosome 1 open reading frame 53
Durusdinium13740	Belongs to the fatty acid desaturase type 1 family
Durusdinium31794	Translocase that confers resistance to substances of high hydrophobicity. involved in transport of multidrug across the membrane (export) multidrug resistance by an export mechanism. responsible for the translocation of the substrate across the membrane
Durusdinium22794	XPG N-terminal
Durusdinium34413	Reversible hydration of carbon dioxide
Durusdinium53644	Acetyltransferase (GNAT) domain
Durusdinium41118	oxidoreductase activity
Durusdinium33910	kinase-like protein
Durusdinium19683	Methyltransferase domain
Durusdinium8683	Belongs to the MIP aquaporin (TC 1.A.8) family
Durusdinium25966	Lipase (class 3)
Durusdinium40613	Belongs to the cytochrome P450 family
Durusdinium22666	endo-1,3(4)-beta-glucanase
Durusdinium35164	Melibiase
Durusdinium37777	methenyltetrahydrofolate synthetase domain containing
Durusdinium9987	PB1 domain
Durusdinium33796	Phosphatidylinositol-4-phosphate 5-Kinase
Durusdinium18397	Glycosyl hydrolases family 16
Durusdinium21103	cAMP-dependent protein kinase regulator activity
Durusdinium24454	RNA binding protein (contains ribosomal protein S1 domain)
Durusdinium14520	twitching motility protein
Durusdinium31470	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine
Durusdinium21130	Lactonase, 7-bladed beta-propeller
Durusdinium36072	Cytochrome P450
Durusdinium38686	pfkB family carbohydrate kinase
Durusdinium43346	16-hydroxypalmitate dehydrogenase activity
Durusdinium7704	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium281	Nucleolar GTP-binding protein
Durusdinium52996	Dynein light chain
