Ofaveolata016377	Transcription
Ofaveolata016720	Signal transduction mechanisms
Ofaveolata026179	Carbohydrate transport and metabolism
Ofaveolata000845	Carbohydrate transport and metabolism
Ofaveolata018453	Coenzyme transport and metabolism
Ofaveolata013973	Signal transduction mechanisms
Ofaveolata029033	Signal transduction mechanisms
Ofaveolata035420	Replication, recombination and repair
Ofaveolata025879	Posttranslational modification, protein turnover, chaperones
Ofaveolata024293	Nucleotide transport and metabolism
Ofaveolata035974	Posttranslational modification, protein turnover, chaperones
Ofaveolata031938	
Ofaveolata018820	Cell cycle control, cell division, chromosome partitioning
Ofaveolata015550	Chromatin structure and dynamics
Ofaveolata029325	Inorganic ion transport and metabolism
Ofaveolata030072	
Ofaveolata013046	Transcription
Ofaveolata030346	Signal transduction mechanisms
Ofaveolata024689	Signal transduction mechanisms
Ofaveolata028063	Chromatin structure and dynamics
Ofaveolata027956	Signal transduction mechanisms
Ofaveolata027794	RNA processing and modification
Ofaveolata022743	
Ofaveolata002534	Posttranslational modification, protein turnover, chaperones
Ofaveolata018495	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata028148	Signal transduction mechanisms
Ofaveolata014484	Translation, ribosomal structure and biogenesis
Ofaveolata024738	Translation, ribosomal structure and biogenesis
Ofaveolata007776	Cell cycle control, cell division, chromosome partitioning
Ofaveolata031614	
Ofaveolata008274	Carbohydrate transport and metabolism
Ofaveolata017063	
Ofaveolata013523	Carbohydrate transport and metabolism
Ofaveolata009324	Translation, ribosomal structure and biogenesis
Ofaveolata033129	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata028025	Inorganic ion transport and metabolism
Ofaveolata009835	Posttranslational modification, protein turnover, chaperones
Ofaveolata014143	Translation, ribosomal structure and biogenesis
Ofaveolata024037	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata013995	Cytoskeleton
Ofaveolata033172	Coenzyme transport and metabolism
Ofaveolata002856	Replication, recombination and repair
Ofaveolata031765	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata028019	Inorganic ion transport and metabolism
Ofaveolata034366	Coenzyme transport and metabolism
Ofaveolata029300	Carbohydrate transport and metabolism
Ofaveolata035332	
Ofaveolata004836	Inorganic ion transport and metabolism
Ofaveolata021904	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata018735	Signal transduction mechanisms
Ofaveolata005078	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata028930	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata002716	Secondary metabolites biosynthesis, transport and catabolism
Ofaveolata019682	Cytoskeleton
Ofaveolata017049	Transcription
Ofaveolata019225	
Ofaveolata021275	Signal transduction mechanisms
Ofaveolata027510	Transcription
Ofaveolata022968	Defense mechanisms
Ofaveolata019397	Posttranslational modification, protein turnover, chaperones
Ofaveolata010239	Signal transduction mechanisms
Ofaveolata007437	Energy production and conversion
Ofaveolata021145	Posttranslational modification, protein turnover, chaperones
Ofaveolata035122	Signal transduction mechanisms
