Durusdinium33176	Solute carrier family 9 (sodium hydrogen exchanger), member 8
Durusdinium43078	Ribosomal protein L19
Ofaveolata266047	BTB POZ domain-containing protein
Durusdinium29866	RNA-binding domain-containing protein
Ofaveolata240059	cytoskeletal anchoring at nuclear membrane
Ofaveolata260752	estrogen-regulated, growth inhibitor
Ofaveolata261296	Epidermal growth factor-like domain.
Durusdinium44480	Transmembrane amino acid transporter protein
Durusdinium49151	Elongation factor Tu C-terminal domain
Durusdinium29631	Cellulase (glycosyl hydrolase family 5)
Ofaveolata254039	peptidase inhibitor activity
Ofaveolata258136	Serpentine type 7TM GPCR chemoreceptor Srw
Durusdinium32303	SCY kinase-related protein (Incomplete catalytic triad)
Durusdinium34445	zinc finger
Durusdinium35630	It is involved in the biological process described with protein ubiquitination
Ofaveolata269339	Centrosomal protein
Ofaveolata267237	dihydrolipoyllysine-residue acetyltransferase activity
Durusdinium29059	NDC80, kinetochore complex component
Ofaveolata265180	protein serine/threonine kinase activity
Durusdinium4731	protein catabolic process
Ofaveolata1395306	eel-Fucolectin Tachylectin-4 Pentaxrin-1 Domain
Ofaveolata260531	regulation of protein monoubiquitination
Ofaveolata81414	protein heterodimerization activity
Ofaveolata254611	protein localization to plasma membrane
Ofaveolata269315	negative regulation of RNA export from nucleus
Durusdinium26171	Autophagy-related protein
Durusdinium41464	Phosphoesterase family
Ofaveolata258447	F-box WD repeat-containing protein
Durusdinium35177	positive regulation of chromatin silencing at rDNA
Durusdinium35700	Saccharopine dehydrogenase
Ofaveolata254637	
Durusdinium46288	adenine phosphoribosyltransferase activity
Durusdinium20148	Acyl transferase domain in polyketide synthase (PKS) enzymes.
Ofaveolata267360	HEAT repeat containing 3
Durusdinium11262	EF-hand domain pair
Durusdinium5538	Potassium voltage-gated channel subfamily B member
Ofaveolata269408	thiol-dependent ubiquitin-specific protease activity
Ofaveolata263790	trans-synaptic signaling by soluble gas, modulating synaptic transmission
Ofaveolata3855916	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
Durusdinium46137	HECT E3 ubiquitin ligase. Source PGD
Ofaveolata265322	phospholipase
Ofaveolata261095	von Willebrand factor (vWF) type A domain
Ofaveolata261598	ATPase activity, coupled to transmembrane movement of substances
Ofaveolata268655	Glycosyl transferases group 1
Ofaveolata252556	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
Durusdinium38976	WD domain, G-beta repeat-containing protein
Durusdinium41247	Belongs to the peptidase C2 family
Durusdinium28373	
Ofaveolata257774	It is involved in the biological process described with negative regulation of transcription elongation from RNA polymerase II promoter
Ofaveolata258177	inner cell mass cell fate commitment
Ofaveolata259904	CTD nuclear envelope phosphatase 1 regulatory subunit 1
Ofaveolata259687	proteasomal ubiquitin-independent protein catabolic process
Ofaveolata265792	Rab guanyl-nucleotide exchange factor activity
Ofaveolata258717	polyA-specific ribonuclease
Ofaveolata238613	Sox developmental protein N terminal
Ofaveolata265084	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Durusdinium17984	Bestrophin, RFP-TM, chloride channel
Durusdinium34191	Oxidoreductase family, NAD-binding Rossmann fold
Ofaveolata264617	EF-hand domain family, member
Ofaveolata260749	Metallopeptidase family M24
Ofaveolata265080	positive regulation of MHC class I biosynthetic process
Ofaveolata254988	Calcyphosin-like protein
Durusdinium43985	transport
Ofaveolata268579	ubiquitin-dependent endocytosis
Ofaveolata248519	hemangioblast cell differentiation
Durusdinium23978	serine threonine-protein kinase
Ofaveolata250715	negative regulation of cellular pH reduction
Ofaveolata269274	signal transduction involved in mitotic G2 DNA damage checkpoint
Durusdinium25758	transmembrane receptor protein phosphatase activity
Durusdinium25610	hypoxanthine salvage
Ofaveolata266804	ATP binding. It is involved in the biological process described with protein phosphorylation
Durusdinium33684	Trypsin-like peptidase domain
Durusdinium9884	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Ofaveolata268705	late endosome to vacuole transport
Durusdinium24905	alpha-1,4-glucan synthase activity
Ofaveolata244375	DBH-like monooxygenase protein 1
Ofaveolata1546275	multidrug resistance-associated protein lethal(2)03659-like
Ofaveolata1194145	calcium ion transport
Ofaveolata264627	Heparan-alpha-glucosaminide N-acetyltransferase
Ofaveolata262784	Tubulin tyrosine ligase-like family, member 5
Ofaveolata253729	ubiquitin
Durusdinium23599	D-Tyr-tRNA(Tyr) deacylase
Durusdinium1622	Pfam:DUF2414
Durusdinium19602	Polysaccharide deacetylase
Durusdinium27091	voltage-gated potassium channel activity
Ofaveolata32916	F-box LRR-repeat protein
Durusdinium27986	SET domain
Ofaveolata262476	cubilin (intrinsic factor-cobalamin receptor)
Ofaveolata249881	Formiminotransferase domain, N-terminal subdomain
Durusdinium8748	ion transmembrane transporter activity
Ofaveolata253864	detection of mechanical stimulus involved in sensory perception of sound
Durusdinium25459	nucleoside hydrolase
Ofaveolata265921	sterol regulatory element-binding protein cleavage-activating
Durusdinium46793	Tubby N-terminal
Ofaveolata244506	Late endosomal lysosomal adaptor, MAPK and MTOR activator 5
Ofaveolata256686	N-acetylglucosamine 6-O-sulfotransferase activity
Ofaveolata213200	metal ion binding
Durusdinium36521	Diphthamide synthase
Ofaveolata254188	Protein tyrosine kinase
Ofaveolata269213	ubiquitin protein ligase binding
Ofaveolata294316	tumor necrosis factor receptor binding
Ofaveolata266827	acetylcholine-gated cation-selective channel activity
Ofaveolata260984	Hemicentin 1
Ofaveolata257353	Nitric oxide associated 1
Ofaveolata268419	actin filament severing
Ofaveolata259315	negative regulation of aldosterone biosynthetic process
Ofaveolata267738	aspartic endopeptidase activity, intramembrane cleaving
Durusdinium30011	thienylcyclohexylpiperidine binding
Durusdinium34413	Reversible hydration of carbon dioxide
Durusdinium41118	oxidoreductase activity
Ofaveolata255901	STELLO glycosyltransferases
Ofaveolata253581	radial pattern formation
Ofaveolata244913	zinc ion binding
Durusdinium19683	methyltransferase
Ofaveolata267755	protein polyubiquitination
Ofaveolata265341	Ankyrin repeats (many copies)
