Durusdinium23550	ABC transporter
Durusdinium35630	4fe-4S ferredoxin, iron-sulfur binding domain protein
Durusdinium109525	Serine threonine protein kinase involved in mRNA surveillance. Recognizes the substrate consensus sequence ST -Q. Involved in nonsense-mediated decay (NMD) of mRNAs containing premature stop codons by phosphorylating smg-2
Durusdinium14039	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
Durusdinium10608	Carbohydrate esterase, sialic acid-specific acetylesterase
Durusdinium4094	LON peptidase N-terminal domain and RING finger
Durusdinium2670	-
Durusdinium108710	Belongs to the SNF7 family
Durusdinium14570	-
Durusdinium86508	Belongs to the ubiquitin-activating E1 family
Durusdinium72195	Belongs to the protein kinase superfamily
Durusdinium20358	Belongs to the peptidase M16 family
Durusdinium72202	ubiquitin-protein transferase activity
Durusdinium14731	-
Durusdinium15463	GTPase that plays an essential role in the late steps of ribosome biogenesis
Durusdinium11693	phosphoadenylyl-sulfate reductase (thioredoxin) activity
Durusdinium83029	ribosomal protein
Durusdinium61312	RNA-binding protein mei2 homologue
Durusdinium9884	Could be involved in insertion of integral membrane proteins into the membrane
Durusdinium263	Mitogen-activated protein kinase kinase kinase
Durusdinium644	gamma-butyrobetaine dioxygenase activity
Durusdinium11157	methionine adenosyltransferase regulator activity
Durusdinium25459	Chymosin-like
Durusdinium24483	polypeptide N-acetylgalactosaminyltransferase activity
Durusdinium73464	Metallo-beta-lactamase superfamily
Durusdinium32	Calcium-dependent protein kinase
Durusdinium41118	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium19683	phosphatase 2c
Durusdinium1623	methyltransferase activity
Durusdinium49536	Rhodanese Homology Domain
Durusdinium10565	UDP-N-acetylglucosamine transferase subunit ALG14. Source PGD
Durusdinium86318	steroid binding
Durusdinium4778	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium102644	Belongs to the glycosyl hydrolase 47 family
Durusdinium14676	N-acylneuraminate-9-phosphatase activity
Durusdinium25101	glycine hydroxymethyltransferase activity
Durusdinium13172	belongs to the protein kinase superfamily
Durusdinium62616	motor activity
Durusdinium83830	N-terminal domain of galactosyltransferase
Durusdinium74583	Cold shock protein
Durusdinium3651	Sodium:solute symporter family
Durusdinium18177	DNA photolyase activity
Durusdinium12148	cellular oxidant detoxification
Durusdinium96013	Ubiquitin-activating enzyme E1 four-helix bundle
Durusdinium50585	procollagen-lysine 5-dioxygenase activity
Durusdinium37104	Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate
Durusdinium24930	PFAM Deoxyribonuclease II
Durusdinium87204	N-terminal region of glycosyl transferase group 7
Durusdinium115105	Diacylglycerol O-acyltransferase. Source PGD
Durusdinium17518	DNA-3-methyladenine glycosylase I
Durusdinium24146	3',5'-cyclic-nucleotide phosphodiesterase activity
Durusdinium57021	galactokinase activity
Durusdinium6330	poly(ADP-ribose) glycohydrolase activity. It is involved in the biological process described with carbohydrate metabolic process
Durusdinium87998	adenosylhomocysteinase activity
Durusdinium18542	Belongs to the synaptobrevin family
Durusdinium771	acyl-CoA dehydrogenase
Durusdinium73274	Peptidase family C69
Durusdinium5453	cysteine-type peptidase activity
Durusdinium72977	Trehalase (brush-border membrane glycoprotein)
Durusdinium53048	Tryparedoxin
Durusdinium108276	Binds to the 23S rRNA
Durusdinium76073	Acetyltransferase (GNAT) domain
Durusdinium21712	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium13437	Radical SAM superfamily
Durusdinium78438	-
Durusdinium48853	fatty acid elongation, saturated fatty acid
Durusdinium51337	DnaJ-class molecular chaperone with C-terminal Zn finger domain
Durusdinium84099	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
Durusdinium85725	Isochorismatase family
Durusdinium65621	-
