Ofaveolata224213	Translation, ribosomal structure and biogenesis
Ofaveolata267065	Replication, recombination and repair
Ofaveolata263296	Carbohydrate transport and metabolism
Ofaveolata264620	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata240059	Cytoskeleton
Ofaveolata261296	
Ofaveolata258136	Posttranslational modification, protein turnover, chaperones
Ofaveolata267237	Energy production and conversion
Ofaveolata260485	Posttranslational modification, protein turnover, chaperones
Ofaveolata81414	Chromatin structure and dynamics
Ofaveolata254545	Inorganic ion transport and metabolism
Ofaveolata269315	
Ofaveolata164645	Signal transduction mechanisms
Ofaveolata225602	Cytoskeleton
Ofaveolata268532	RNA processing and modification
Ofaveolata257136	Secondary metabolites biosynthesis, transport and catabolism
Ofaveolata262318	Cell cycle control, cell division, chromosome partitioning
Ofaveolata264375	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata264583	
Ofaveolata263790	Nucleotide transport and metabolism
Ofaveolata265322	Lipid transport and metabolism
Ofaveolata261598	Lipid transport and metabolism
Ofaveolata254214	Secondary metabolites biosynthesis, transport and catabolism
Ofaveolata252556	Transcription
Ofaveolata252143	Replication, recombination and repair
Ofaveolata263219	Signal transduction mechanisms
Ofaveolata258177	Signal transduction mechanisms
Ofaveolata2439666	Inorganic ion transport and metabolism
Ofaveolata259687	Signal transduction mechanisms
Ofaveolata266155	RNA processing and modification
Ofaveolata265792	Intracellular trafficking, secretion, and vesicular transport
Ofaveolata258717	Replication, recombination and repair
Ofaveolata238613	Transcription
Ofaveolata250844	Signal transduction mechanisms
Ofaveolata249134	RNA processing and modification
Ofaveolata248544	Signal transduction mechanisms
Ofaveolata265084	Signal transduction mechanisms
Ofaveolata257767	Signal transduction mechanisms
Ofaveolata248762	Replication, recombination and repair
Ofaveolata263000	Amino acid transport and metabolism
Ofaveolata260749	Amino acid transport and metabolism
Ofaveolata254988	Signal transduction mechanisms
Ofaveolata248519	Transcription
Ofaveolata265197	Replication, recombination and repair
Ofaveolata250715	Signal transduction mechanisms
Ofaveolata269274	
