Ofaveolata267237	K00627
Ofaveolata254611	K17346
Ofaveolata261598	K05644
Ofaveolata268655	K15521
Ofaveolata257774	K15179
Ofaveolata258177	K08791
Ofaveolata259687	K10456
Ofaveolata258717	K01148
Ofaveolata260749	K01262
Ofaveolata268579	K10641
Ofaveolata248519	K09068
Ofaveolata266804	K05728
Ofaveolata268705	K15053
Ofaveolata231923	K02261
Ofaveolata213200	K23858
Ofaveolata266827	K14072
Ofaveolata267738	K09597
Ofaveolata251250	K01738
Ofaveolata263104	K00852
Ofaveolata260785	K17418
Ofaveolata256929	K14072
Ofaveolata226272	K19519
Ofaveolata268605	K19526
Ofaveolata263658	K04362
Ofaveolata269820	K04564
Ofaveolata262842	K10457
Ofaveolata261909	K10359
Ofaveolata246104	K24413
Ofaveolata1286677	K10443
Ofaveolata261039	K10392
Ofaveolata257935	K04233
Ofaveolata268284	K13278
Ofaveolata222139	K07918
Ofaveolata269254	K18405
Ofaveolata261768	K23495
Ofaveolata263011	K17923
Ofaveolata236953	K22790
Ofaveolata16414	K12035
Ofaveolata254574	K02183
Ofaveolata244543	K08770
Ofaveolata268692	K15426
Ofaveolata264953	K07918
Ofaveolata246284	K07375
Ofaveolata264584	K24927
Ofaveolata258308	K24822
Ofaveolata259140	K18628
Ofaveolata225560	K09577
Ofaveolata269000	K22614
Ofaveolata216575	K00500
Ofaveolata263651	K07380
Ofaveolata268256	K22858
Ofaveolata246690	K19862
Ofaveolata257816	K11541
Ofaveolata239860	K02732
Ofaveolata264839	K15341
Ofaveolata269376	K10414
Ofaveolata266276	K24260
Ofaveolata260330	K25057
Ofaveolata268611	K10380
Ofaveolata256544	K15620
Ofaveolata258883	K13676
Ofaveolata265820	K11501
Ofaveolata241698	K17981
Ofaveolata267441	K05691
Ofaveolata265956	K24469
Ofaveolata264714	K01135
Ofaveolata266292	K10871
Ofaveolata239278	K04202
Ofaveolata268726	K19360
Ofaveolata254322	K00861
Ofaveolata230803	K22790
Ofaveolata269134	K09113
Ofaveolata261219	K18438
Ofaveolata260008	K23092
Ofaveolata266226	K10869
Ofaveolata263915	K22070
Ofaveolata268839	K02168
Ofaveolata116944	K10839
Ofaveolata250620	K24687
Ofaveolata258146	K09494
Ofaveolata259358	K17495
Ofaveolata266766	K16816
Ofaveolata264980	K05208
Ofaveolata255603	K24936
Ofaveolata265675	K12805
Ofaveolata269353	K06640
Ofaveolata260335	K13164
Ofaveolata246709	K11885
Ofaveolata265032	K12309
Ofaveolata212811	K15028
Ofaveolata260199	K09091
Ofaveolata267048	K15601
Ofaveolata258492	K01555
Ofaveolata265914	K01872
Ofaveolata210745	K06252
Ofaveolata269479	K16573
Ofaveolata258495	K11664
Ofaveolata269707	K14550
Ofaveolata262453	K20773
Ofaveolata253358	K24683
Ofaveolata262805	K23167
Ofaveolata264277	K10426
Ofaveolata263975	K17871
Ofaveolata253171	K01681
Ofaveolata237469	K12861
Ofaveolata262297	K24064
Ofaveolata254701	K23908
Ofaveolata267545	K04362
Ofaveolata266094	K20410
Ofaveolata262582	K04266
Ofaveolata266425	K04705
Ofaveolata269837	K11592
Ofaveolata266186	K15261
Ofaveolata255709	K09608
Ofaveolata255278	K08064
Ofaveolata268095	K16572
Ofaveolata264701	K22611
Ofaveolata262995	K21598
Ofaveolata263299	K06792
Ofaveolata266815	K00734
Ofaveolata247294	K17689
Ofaveolata261348	K12492
Ofaveolata261356	K00149
Ofaveolata245463	K04970
Ofaveolata233498	K04826
Ofaveolata262158	K00016
Ofaveolata267523	K16763
Ofaveolata263357	K10704
Ofaveolata225482	K11344
Ofaveolata252450	K13099
Ofaveolata257859	K12798
Ofaveolata268922	K18166
Ofaveolata267070	K03174
Ofaveolata264969	K03695
Ofaveolata207677	K04266
Ofaveolata264191	K06778
Ofaveolata1656191	K24243
Ofaveolata256097	K01907
Ofaveolata264494	K06091
Ofaveolata253006	K19584
Ofaveolata260470	K01763
Ofaveolata216850	K01183
Ofaveolata255737	K01974
Ofaveolata261026	K15305
Ofaveolata258609	K15369
Ofaveolata264895	K12301
Ofaveolata262860	K16449
Ofaveolata268117	K00901
Ofaveolata244261	K01310
Ofaveolata253335	K08132
Ofaveolata263528	K10478
Ofaveolata262872	K02168
Ofaveolata268962	K11841
Ofaveolata262356	K10571
Ofaveolata265842	K10457
Ofaveolata264315	K20221
Ofaveolata235870	K15839
Ofaveolata262975	K03068
Ofaveolata266992	K18595
Ofaveolata253964	K17917
Ofaveolata215151	K04919
Ofaveolata19973	K11140
Ofaveolata256604	K01330
Ofaveolata262654	K01875
Ofaveolata113255	K02925
Ofaveolata268669	K00512
Ofaveolata264470	K17410
Ofaveolata267933	K14793
Ofaveolata263035	K24936
Ofaveolata219818	K08031
Ofaveolata257484	K05312
Ofaveolata267179	K10300
Ofaveolata267822	K25100
Ofaveolata252741	K08375
Ofaveolata265590	K16767
Ofaveolata250754	K04543
Ofaveolata262014	K01951
Ofaveolata264977	K19914
Ofaveolata252078	K08375
Ofaveolata262892	K13517
Ofaveolata261978	K09656
Ofaveolata120461	K16575
Ofaveolata269269	K13132
Ofaveolata256321	K12655
Ofaveolata246250	K17495
Ofaveolata251004	K03522
Ofaveolata233700	K04353
Ofaveolata267229	K19511
Ofaveolata261369	K12171
Ofaveolata254764	K08745
Ofaveolata119394	K05312
Ofaveolata262486	K01017
Ofaveolata267897	K10727
Ofaveolata261953	K00901
Ofaveolata266513	K09558
Ofaveolata114826	K03122
Ofaveolata267516	K05849
Ofaveolata252619	K09381
Ofaveolata251279	K19873
Ofaveolata257688	K19685
Ofaveolata167189	K07418
Ofaveolata1859030	K15837
Ofaveolata259790	K19498
Ofaveolata248844	K06711
Ofaveolata264729	K04077
Ofaveolata265931	K18740
Ofaveolata265226	K14716
Ofaveolata82552	K04255
Ofaveolata269265	K04989
Ofaveolata137804	K04878
Ofaveolata23636	K04448
Ofaveolata113862	K10375
Ofaveolata263190	K18410
Ofaveolata256314	K08132
Ofaveolata243979	K05719
Ofaveolata245243	K17505
Ofaveolata268454	K23215
Ofaveolata125810	K05692
Ofaveolata260880	K22530
Ofaveolata262341	K14816
Ofaveolata161274	K09557
Ofaveolata253797	K16889
Ofaveolata264515	K02030
Ofaveolata266534	K01466
Ofaveolata265505	K04905
Ofaveolata267851	K15010
Ofaveolata200901	K07410
Ofaveolata256762	K08017
Ofaveolata259623	K10585
Ofaveolata260319	K12259
Ofaveolata266685	K10268
Ofaveolata263476	K10706
Ofaveolata265399	K24747
Ofaveolata259247	K04224
Ofaveolata248443	K11997
Ofaveolata261972	K00814
Ofaveolata255913	K23080
Ofaveolata185635	K07748
Ofaveolata254006	K24431
Ofaveolata268799	K07497
Ofaveolata238514	K04150
Ofaveolata250707	K11805
Ofaveolata164227	K02927
Ofaveolata253277	K07497
Ofaveolata247148	K04677
Ofaveolata266054	K06530
Ofaveolata269165	K15115
Ofaveolata264171	K03106
Ofaveolata252999	K08465
Ofaveolata250456	K01869
Ofaveolata264994	K04523
Ofaveolata264064	K06051
Ofaveolata268645	K05051
Ofaveolata260159	K00889
Ofaveolata238819	K12888
Ofaveolata265642	K11844
Ofaveolata256473	K11723
Ofaveolata259348	K06491
Ofaveolata261825	K09173
Ofaveolata259095	K08635
Ofaveolata264098	K04138
Ofaveolata269522	K19527
Ofaveolata268309	K06053
Ofaveolata266455	K01349
Ofaveolata268167	K06269
Ofaveolata260036	K06676
Ofaveolata267925	K01511
Ofaveolata262449	K21407
Ofaveolata255025	K00699
Ofaveolata247678	K07511
Ofaveolata260890	K10799
Ofaveolata237507	K24835
Ofaveolata215808	K00287
Ofaveolata249634	K05312
Ofaveolata262377	K05126
Ofaveolata269104	K09848
Ofaveolata46964	K06777
Ofaveolata249789	K04043
Ofaveolata260013	K16857
Ofaveolata229376	K10743
Ofaveolata264816	K16860
Ofaveolata257365	K09109
Ofaveolata256887	K14539
Ofaveolata267147	K03899
Ofaveolata254927	K10134
Ofaveolata224688	K02970
Ofaveolata2094504	K03902
Ofaveolata253675	K04316
Ofaveolata254064	K09228
Ofaveolata1735497	K04825
Ofaveolata259878	K13700
Ofaveolata268751	K02678
Ofaveolata260358	K14307
Ofaveolata263405	K14007
Ofaveolata260655	K00415
Ofaveolata251812	K08635
Ofaveolata260756	K05545
Ofaveolata268558	K23285
Ofaveolata1658858	K09382
Ofaveolata266231	K17307
Ofaveolata258856	K01667
Ofaveolata259788	K04205
Ofaveolata269754	K17592
Ofaveolata265336	K04362
Ofaveolata219990	K07380
Ofaveolata265998	K00999
Ofaveolata259943	K09608
Ofaveolata259727	K09503
Ofaveolata259700	K16365
Ofaveolata259153	K05888
Ofaveolata201484	K08057
Ofaveolata263361	K21871
Ofaveolata261081	K07378
Ofaveolata262046	K06674
Ofaveolata268719	K23961
Ofaveolata253851	K15119
Ofaveolata263775	K17459
Ofaveolata262617	K04986
Ofaveolata263279	K07847
Ofaveolata255732	K10737
Ofaveolata259628	K17928
Ofaveolata114294	K03039
Ofaveolata249552	K09227
Ofaveolata242260	K13443
Ofaveolata258022	K17267
Ofaveolata260085	K09041
Ofaveolata268051	K02178
Ofaveolata252326	K12389
Ofaveolata244174	K23958
Ofaveolata260521	K08770
Ofaveolata259441	K24909
Ofaveolata1304159	K07282
Ofaveolata255769	K13186
Ofaveolata268902	K01620
Ofaveolata266540	K03910
Ofaveolata269418	K14845
Ofaveolata228801	K18274
Ofaveolata264643	K20474
Ofaveolata267790	K19737
Ofaveolata241149	K05901
Ofaveolata265694	K01301
Ofaveolata264363	K19530
Ofaveolata263284	K14290
Ofaveolata221024	K12035
Ofaveolata263499	K13219
Ofaveolata264347	K15542
Ofaveolata250878	K00681
Ofaveolata249242	K01019
Ofaveolata265026	K05093
Ofaveolata244973	K08465
Ofaveolata259417	K13147
Ofaveolata264569	K07197
Ofaveolata263189	K05129
Ofaveolata241219	K11407
Ofaveolata255277	K15212
Ofaveolata1294111	K04136
Ofaveolata228788	K20715
Ofaveolata269312	K10478
Ofaveolata266948	K10993
Ofaveolata257329	K19369
Ofaveolata6975	K04260
Ofaveolata268227	K07497
Ofaveolata113264	K02903
Ofaveolata264960	K18258
Ofaveolata267765	K08745
Ofaveolata266740	K20051
Ofaveolata267390	K10747
Ofaveolata266797	K21635
Ofaveolata268723	K02605
