Durusdinium23550	V
Durusdinium35630	U
Durusdinium109525	L
Durusdinium14039	I
Durusdinium4094	O
Durusdinium2670	-
Durusdinium108710	U
Durusdinium14570	-
Durusdinium86508	O
Durusdinium72195	T
Durusdinium20358	O
Durusdinium72202	KL
Durusdinium14731	-
Durusdinium11693	EH
Durusdinium83029	J
Durusdinium61312	D
Durusdinium263	T
Durusdinium644	Q
Durusdinium11157	EI
Durusdinium25459	O
Durusdinium24483	M
Durusdinium32	T
Durusdinium41118	IQ
Durusdinium19683	T
Durusdinium1623	Q
Durusdinium86318	CH
Durusdinium4778	B
Durusdinium102644	G
Durusdinium14676	P
Durusdinium25101	H
Durusdinium13172	M
Durusdinium62616	Z
Durusdinium83830	O
Durusdinium74583	K
Durusdinium3651	P
Durusdinium18177	L
Durusdinium12148	O
Durusdinium96013	O
Durusdinium50585	M
Durusdinium37104	H
Durusdinium87204	G
Durusdinium115105	I
Durusdinium17518	L
Durusdinium24146	T
Durusdinium57021	G
Durusdinium6330	T
Durusdinium87998	H
Durusdinium18542	U
Durusdinium771	CI
Durusdinium73274	E
Durusdinium5453	K
Durusdinium72977	G
Durusdinium53048	O
Durusdinium108276	J
Durusdinium21712	Z
Durusdinium13437	J
Durusdinium78438	-
Durusdinium48853	I
Durusdinium51337	O
Durusdinium84099	J
Durusdinium85725	Q
Durusdinium65621	-
Durusdinium19642	O
Durusdinium207	O
Durusdinium871	O
Durusdinium95541	M
Durusdinium96586	J
Durusdinium50422	O
Durusdinium22046	O
Durusdinium9959	G
Durusdinium89165	I
Durusdinium16248	Q
Durusdinium35090	P
Durusdinium13857	U
Durusdinium115430	EG
Durusdinium50088	E
Durusdinium14479	Z
Durusdinium19504	T
Durusdinium26866	G
Durusdinium60450	BT
Durusdinium84546	T
Durusdinium52659	P
Durusdinium39226	T
Durusdinium50807	O
Durusdinium111502	L
Durusdinium5429	T
Durusdinium10382	I
Durusdinium31054	AJ
Durusdinium22816	H
Durusdinium85487	A
Durusdinium86038	U
Durusdinium60088	I
Durusdinium24191	K
Durusdinium62028	T
Durusdinium18703	J
Durusdinium108112	O
Durusdinium14534	T
Durusdinium51201	T
Durusdinium85819	J
Durusdinium67805	Q
Durusdinium61285	O
Durusdinium62168	DZ
Durusdinium1234	O
Durusdinium78352	B
Durusdinium5662	E
Durusdinium73283	U
Durusdinium23913	C
Durusdinium5958	-
Durusdinium22960	I
Durusdinium106635	BD
Durusdinium50172	U
Durusdinium13358	T
Durusdinium102	H
Durusdinium6814	-
Durusdinium62798	J
Durusdinium104613	L
Durusdinium62970	E
Durusdinium109498	KL
Durusdinium7517	I
Durusdinium60474	Q
Durusdinium74666	IQ
Durusdinium107911	O
Durusdinium1756	O
Durusdinium98231	U
Durusdinium112016	O
Durusdinium536	Z
Durusdinium44018	EH
Durusdinium103806	T
Durusdinium16428	O
Durusdinium61744	C
Durusdinium43946	H
Durusdinium15874	E
Durusdinium96037	G
Durusdinium11220	O
Durusdinium17324	Q
Durusdinium77784	K
Durusdinium84044	-
Durusdinium16138	E
Durusdinium11854	T
Durusdinium26659	E
Durusdinium108367	Q
Durusdinium16443	C
Durusdinium59846	T
Durusdinium56472	E
Durusdinium7197	O
Durusdinium18644	M
Durusdinium110426	O
Durusdinium20507	G
Durusdinium85450	O
Durusdinium96762	J
Durusdinium111192	T
Durusdinium107420	U
Durusdinium61697	DO
Durusdinium47450	U
Durusdinium109570	T
Durusdinium53457	A
Durusdinium95391	C
Durusdinium54	G
Durusdinium87617	T
Durusdinium85153	O
Durusdinium115196	E
Durusdinium49603	L
Durusdinium104798	IQ
Durusdinium92058	E
Durusdinium116075	T
Durusdinium38909	C
Durusdinium42731	O
Durusdinium56446	U
Durusdinium7793	Q
Durusdinium72352	O
Durusdinium62010	J
Durusdinium4718	I
Durusdinium19229	O
Durusdinium96009	C
Durusdinium24337	C
Durusdinium19253	L
Durusdinium88429	J
Durusdinium1292	T
Durusdinium83660	O
Durusdinium38233	D
Durusdinium26324	J
Durusdinium113713	O
Durusdinium74406	T
Durusdinium75136	-
Durusdinium21735	IU
Durusdinium72104	KOT
Durusdinium12633	J
Durusdinium43908	C
Durusdinium388	PT
Durusdinium46074	I
Durusdinium87638	K
Durusdinium3393	P
Durusdinium17071	I
Durusdinium55489	K
Durusdinium1832	T
Durusdinium62142	D
Durusdinium109724	A
Durusdinium59812	C
Durusdinium74752	J
Durusdinium97671	BK
Durusdinium84080	-
Durusdinium60004	J
Durusdinium4903	T
Durusdinium20061	O
Durusdinium85879	O
Durusdinium1706	C
Durusdinium22748	AD
Durusdinium38640	I
Durusdinium54661	F
Durusdinium18128	E
Durusdinium6230	EG
Durusdinium17236	O
Durusdinium20354	G
Durusdinium88386	M
Durusdinium112382	I
Durusdinium3406	T
Durusdinium20815	KLT
Durusdinium62407	-
Durusdinium77479	P
Durusdinium59884	C
Durusdinium25976	O
Durusdinium89542	E
Durusdinium62464	O
Durusdinium110056	K
Durusdinium108048	C
Durusdinium48735	F
Durusdinium75646	O
Durusdinium2920	L
Durusdinium2484	C
Durusdinium17039	L
Durusdinium17458	Z
Durusdinium88813	G
Durusdinium108595	E
Durusdinium18459	C
Durusdinium15178	P
Durusdinium73036	G
Durusdinium62654	O
Durusdinium51012	J
Durusdinium90284	T
Durusdinium60964	H
Durusdinium14126	O
Durusdinium27647	O
Durusdinium79606	T
Durusdinium4748	GM
Durusdinium12568	T
Durusdinium48458	O
Durusdinium6378	I
Durusdinium86049	O
Durusdinium9914	E
Durusdinium37222	E
Durusdinium107194	A
Durusdinium76549	U
Durusdinium64580	-
Durusdinium10737	J
Durusdinium10570	T
Durusdinium29757	G
Durusdinium6299	U
Durusdinium1932	J
Durusdinium10100	KLT
Durusdinium110749	O
Durusdinium108370	O
Durusdinium51098	CO
Durusdinium45405	E
Durusdinium14043	L
Durusdinium376	P
Durusdinium84498	E
Durusdinium71891	D
Durusdinium2097	G
Durusdinium1690	U
Durusdinium56120	J
Durusdinium3957	H
Durusdinium6296	E
Durusdinium85839	IKOT
Durusdinium954	U
Durusdinium57741	L
Durusdinium6585	G
Durusdinium8555	J
Durusdinium24830	-
Durusdinium114479	J
Durusdinium11060	O
Durusdinium15918	G
Durusdinium111945	A
Durusdinium823	G
Durusdinium9558	L
Durusdinium100122	P
Durusdinium12309	F
Durusdinium112401	-
Durusdinium25159	A
Durusdinium2040	-
Durusdinium629	C
Durusdinium111427	U
Durusdinium1501	Z
Durusdinium25449	G
Durusdinium16265	B
Durusdinium50664	O
Durusdinium11408	P
Durusdinium3930	Z
Durusdinium91240	O
Durusdinium12226	F
Durusdinium42865	J
Durusdinium14390	G
Durusdinium23388	T
Durusdinium62509	J
Durusdinium55330	J
Durusdinium12930	I
Durusdinium64508	P
Durusdinium3214	A
Durusdinium20449	I
Durusdinium95777	A
Durusdinium71856	Z
Durusdinium23472	J
Durusdinium17830	O
Durusdinium26702	EF
Durusdinium85437	F
Durusdinium72742	T
Durusdinium21380	M
Durusdinium64921	U
Durusdinium111882	C
Durusdinium61279	-
Durusdinium5436	T
Durusdinium96633	F
Durusdinium9098	T
Durusdinium98789	C
Durusdinium12459	O
Durusdinium93652	BK
Durusdinium9710	-
Durusdinium11455	I
Durusdinium83146	O
Durusdinium110381	A
Durusdinium22430	Q
Durusdinium5742	-
Durusdinium7122	G
Durusdinium84306	G
Durusdinium31908	B
Durusdinium74404	A
Durusdinium3909	O
Durusdinium31776	K
Durusdinium61657	DTZ
Durusdinium9125	U
Durusdinium87782	T
Durusdinium4871	K
Durusdinium64684	C
Durusdinium27970	G
Durusdinium74184	O
Durusdinium21387	E
Durusdinium96593	O
Durusdinium111918	T
Durusdinium60761	J
Durusdinium63483	F
Durusdinium60493	T
Durusdinium99440	E
Durusdinium14026	A
Durusdinium20634	O
Durusdinium38230	T
Durusdinium101304	M
Durusdinium60200	T
Durusdinium13610	E
Durusdinium103281	O
Durusdinium2271	O
Durusdinium18771	H
Durusdinium10113	C
Durusdinium8612	K
Durusdinium71831	IQ
Durusdinium73999	-
Durusdinium11970	Q
Durusdinium62270	P
Durusdinium49581	O
Durusdinium61303	C
Durusdinium2152	O
Durusdinium11064	J
Durusdinium66376	T
Durusdinium111416	O
Durusdinium85319	G
Durusdinium16164	O
Durusdinium18779	Z
Durusdinium53871	B
Durusdinium3042	U
Durusdinium84377	J
Durusdinium85447	J
Durusdinium64051	E
Durusdinium60010	Z
Durusdinium79259	L
Durusdinium1102	AJ
Durusdinium3742	K
Durusdinium9929	H
Durusdinium28617	F
Durusdinium107947	D
Durusdinium51170	J
Durusdinium63551	E
Durusdinium6226	O
Durusdinium110023	O
Durusdinium20660	C
Durusdinium980	Z
Durusdinium96101	H
Durusdinium72432	U
Durusdinium70796	O
Durusdinium61858	-
Durusdinium7951	J
Durusdinium45784	O
Durusdinium50517	D
Durusdinium85512	G
Durusdinium14771	U
Durusdinium61593	UY
Durusdinium88350	H
Durusdinium2200	O
Durusdinium11605	U
Durusdinium108830	E
Durusdinium12125	IQ
Durusdinium20874	J
Durusdinium38137	J
Durusdinium66983	G
Durusdinium9770	Q
Durusdinium77031	EH
Durusdinium49460	O
Durusdinium94752	O
Durusdinium11996	T
Durusdinium11160	K
Durusdinium8206	-
Durusdinium92011	T
Durusdinium2425	O
Durusdinium63051	O
Durusdinium36253	I
Durusdinium85789	F
Durusdinium270	A
Durusdinium76931	L
Durusdinium89355	G
Durusdinium101831	Q
Durusdinium42696	E
Durusdinium60600	T
Durusdinium39599	O
Durusdinium47737	D
Durusdinium60336	H
Durusdinium45568	H
Durusdinium23015	CH
Durusdinium97248	CH
Durusdinium107563	J
Durusdinium44936	L
Durusdinium109628	L
Durusdinium48990	L
Durusdinium109318	H
Durusdinium76739	U
Durusdinium21418	DZ
Durusdinium98509	-
Durusdinium62819	J
Durusdinium94586	U
Durusdinium49642	K
Durusdinium2259	P
Durusdinium74153	G
Durusdinium95208	-
Durusdinium84629	T
Durusdinium86274	O
Durusdinium72190	H
Durusdinium8354	Q
Durusdinium30857	O
Durusdinium72563	I
Durusdinium116540	O
Durusdinium9112	H
Durusdinium107	O
Durusdinium110683	O
Durusdinium48312	CH
Durusdinium15573	O
Durusdinium102726	V
Durusdinium61459	Z
Durusdinium1958	J
Durusdinium107466	O
Durusdinium49717	IQ
Durusdinium98020	-
Durusdinium64083	T
Durusdinium74308	P
Durusdinium17447	-
Durusdinium85906	L
Durusdinium34611	E
Durusdinium3110	Q
Durusdinium96030	E
Durusdinium3504	A
Durusdinium59739	C
Durusdinium17265	K
Durusdinium85533	C
Durusdinium85495	T
Durusdinium87357	U
Durusdinium8531	KLT
Durusdinium8263	Z
Durusdinium2160	J
Durusdinium63271	O
Durusdinium72991	M
Durusdinium73931	Q
Durusdinium107897	T
Durusdinium46186	Z
Durusdinium87730	U
Durusdinium31797	T
Durusdinium48495	I
Durusdinium2002	C
Durusdinium85812	E
Durusdinium83834	V
Durusdinium65280	I
Durusdinium20437	L
Durusdinium18515	T
Durusdinium84226	C
Durusdinium108497	-
Durusdinium101565	J
Durusdinium13453	K
Durusdinium49185	G
Durusdinium3019	T
Durusdinium61842	B
Durusdinium15651	A
Durusdinium18338	H
Durusdinium1702	-
Durusdinium5709	O
Durusdinium63036	C
Durusdinium4242	T
Durusdinium186	J
Durusdinium5162	A
Durusdinium62891	J
Durusdinium9650	V
Durusdinium102355	DN
Durusdinium97845	P
Durusdinium1686	P
Durusdinium109393	F
Durusdinium23713	O
Durusdinium64040	T
Durusdinium88438	C
Durusdinium10315	A
Durusdinium96960	G
Durusdinium109489	J
Durusdinium65392	A
Durusdinium88810	K
Durusdinium76433	P
Durusdinium55614	P
Durusdinium109761	IQ
Durusdinium73768	L
Durusdinium71930	E
Durusdinium86540	-
Durusdinium115446	I
Durusdinium108890	A
Durusdinium3090	O
Durusdinium110044	P
Durusdinium35375	E
Durusdinium92471	E
Durusdinium30597	M
Durusdinium100354	DO
Durusdinium74505	T
Durusdinium16322	J
Durusdinium85626	C
Durusdinium96310	EGP
Durusdinium85055	Z
Durusdinium21010	-
Durusdinium77260	EJ
Durusdinium60146	EGP
Durusdinium79919	O
Durusdinium61951	-
Durusdinium77323	U
Durusdinium95627	L
Durusdinium52856	T
Durusdinium11299	L
Durusdinium19917	P
Durusdinium74070	O
Durusdinium2970	H
Durusdinium83708	Z
Durusdinium107744	I
Durusdinium693	U
Durusdinium36034	T
Durusdinium60114	CH
Durusdinium11067	A
Durusdinium48804	A
Durusdinium42655	Q
Durusdinium6410	O
Durusdinium4578	P
Durusdinium111860	O
Durusdinium21870	-
Durusdinium72102	J
Durusdinium54676	D
Durusdinium98214	E
Durusdinium41803	J
Durusdinium62199	C
Durusdinium71953	C
Durusdinium98316	G
Durusdinium72597	KL
Durusdinium100606	D
Durusdinium33483	A
Durusdinium352	O
Durusdinium12372	C
Durusdinium6556	J
Durusdinium77700	IQ
Durusdinium60940	T
Durusdinium4098	C
Durusdinium106920	E
Durusdinium28128	-
Durusdinium71905	O
Durusdinium8458	J
