Durusdinium23550	Defense mechanisms
Durusdinium35630	Intracellular trafficking, secretion, and vesicular transport
Durusdinium109525	Replication, recombination and repair
Durusdinium14039	Lipid transport and metabolism
Durusdinium4094	Posttranslational modification, protein turnover, chaperones
Durusdinium2670	
Durusdinium108710	Intracellular trafficking, secretion, and vesicular transport
Durusdinium14570	
Durusdinium86508	Posttranslational modification, protein turnover, chaperones
Durusdinium72195	Signal transduction mechanisms
Durusdinium20358	Posttranslational modification, protein turnover, chaperones
Durusdinium72202	
Durusdinium14731	
Durusdinium11693	
Durusdinium83029	Translation, ribosomal structure and biogenesis
Durusdinium61312	Cell cycle control, cell division, chromosome partitioning
Durusdinium263	Signal transduction mechanisms
Durusdinium644	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium11157	
Durusdinium25459	Posttranslational modification, protein turnover, chaperones
Durusdinium24483	Cell wall/membrane/envelope biogenesis
Durusdinium32	Signal transduction mechanisms
Durusdinium41118	
Durusdinium19683	Signal transduction mechanisms
Durusdinium1623	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium86318	
Durusdinium4778	Chromatin structure and dynamics
Durusdinium102644	Carbohydrate transport and metabolism
Durusdinium14676	Inorganic ion transport and metabolism
Durusdinium25101	Coenzyme transport and metabolism
Durusdinium13172	Cell wall/membrane/envelope biogenesis
Durusdinium62616	Cytoskeleton
Durusdinium83830	Posttranslational modification, protein turnover, chaperones
Durusdinium74583	Transcription
Durusdinium3651	Inorganic ion transport and metabolism
Durusdinium18177	Replication, recombination and repair
Durusdinium12148	Posttranslational modification, protein turnover, chaperones
Durusdinium96013	Posttranslational modification, protein turnover, chaperones
Durusdinium50585	Cell wall/membrane/envelope biogenesis
Durusdinium37104	Coenzyme transport and metabolism
Durusdinium87204	Carbohydrate transport and metabolism
Durusdinium115105	Lipid transport and metabolism
Durusdinium17518	Replication, recombination and repair
Durusdinium24146	Signal transduction mechanisms
Durusdinium57021	Carbohydrate transport and metabolism
Durusdinium6330	Signal transduction mechanisms
Durusdinium87998	Coenzyme transport and metabolism
Durusdinium18542	Intracellular trafficking, secretion, and vesicular transport
Durusdinium771	
Durusdinium73274	Amino acid transport and metabolism
Durusdinium5453	Transcription
Durusdinium72977	Carbohydrate transport and metabolism
Durusdinium53048	Posttranslational modification, protein turnover, chaperones
Durusdinium108276	Translation, ribosomal structure and biogenesis
Durusdinium21712	Cytoskeleton
Durusdinium13437	Translation, ribosomal structure and biogenesis
Durusdinium78438	
Durusdinium48853	Lipid transport and metabolism
Durusdinium51337	Posttranslational modification, protein turnover, chaperones
Durusdinium84099	Translation, ribosomal structure and biogenesis
Durusdinium85725	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium65621	
Durusdinium19642	Posttranslational modification, protein turnover, chaperones
Durusdinium207	Posttranslational modification, protein turnover, chaperones
Durusdinium871	Posttranslational modification, protein turnover, chaperones
Durusdinium95541	Cell wall/membrane/envelope biogenesis
Durusdinium96586	Translation, ribosomal structure and biogenesis
Durusdinium50422	Posttranslational modification, protein turnover, chaperones
Durusdinium22046	Posttranslational modification, protein turnover, chaperones
Durusdinium9959	Carbohydrate transport and metabolism
Durusdinium89165	Lipid transport and metabolism
Durusdinium16248	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium35090	Inorganic ion transport and metabolism
Durusdinium13857	Intracellular trafficking, secretion, and vesicular transport
Durusdinium115430	
Durusdinium50088	Amino acid transport and metabolism
Durusdinium14479	Cytoskeleton
Durusdinium19504	Signal transduction mechanisms
Durusdinium26866	Carbohydrate transport and metabolism
Durusdinium60450	
Durusdinium84546	Signal transduction mechanisms
Durusdinium52659	Inorganic ion transport and metabolism
Durusdinium39226	Signal transduction mechanisms
Durusdinium50807	Posttranslational modification, protein turnover, chaperones
Durusdinium111502	Replication, recombination and repair
Durusdinium5429	Signal transduction mechanisms
Durusdinium10382	Lipid transport and metabolism
Durusdinium31054	
Durusdinium22816	Coenzyme transport and metabolism
Durusdinium85487	RNA processing and modification
Durusdinium86038	Intracellular trafficking, secretion, and vesicular transport
Durusdinium60088	Lipid transport and metabolism
Durusdinium24191	Transcription
Durusdinium62028	Signal transduction mechanisms
Durusdinium18703	Translation, ribosomal structure and biogenesis
Durusdinium108112	Posttranslational modification, protein turnover, chaperones
Durusdinium14534	Signal transduction mechanisms
Durusdinium51201	Signal transduction mechanisms
Durusdinium85819	Translation, ribosomal structure and biogenesis
Durusdinium67805	Secondary metabolites biosynthesis, transport and catabolism
Durusdinium61285	Posttranslational modification, protein turnover, chaperones
Durusdinium62168	
